,gender,description,text,hashtags
4948,0,,watch the live event get hype now,
9875,0,faith family friend and farm nebraska love golf play ball with kid and family vacation john,and yield be much high last year too,
1874,1,,that be literally the sweet video ever watch lucky girl,
1067,0,you want know more check out website,the return paganism will paganism become become the main religion america,
1115,1,wassup peeepssss miley cyrus and justin bieber fan love rip caleb miss angry grandpa and kidbehindacamera fan and mcjuggernuggets and others,like video from the juggies powwow discipline perseverance,1
10840,0,programmer videogames music giggle nerd shit be call affront comedy also stream twitch sometimes,not like their culture base around hug and rainbow,
9382,1,sailormonica let get spooky,when people be talk you but too head and then they ask you what you think and like ummmmmm,
7029,0,amateur hand out sprint olympic,have look finis tempo trainer device that can set beep keep stroke pace many setting and find useful,runner triathlete awesome
2571,0,personal account employment law consultant single parent for any random stuff,the second amendment labour proposal adjourn the cut go through not dramatic reject the but still big,taxcredits
11611,1,but big girl dawg iraqi seth rollins defense squad triple sugar daddy,because the topic be immigrant run for office for but say not the constitution and don like,
4523,0,actor storyteller freelance theatre practitioner big kid,off the flick with see predecessor,spectre
10363,0,write about southern miss louisiana and east carolina and literally anything else,do much well this week pick game with record texas usa usu sdsu and utep fau be only loss overall,
5078,0,live the dream halifax but always new brunswicker heart curler leaf fan travel addict health professional student future big brother contestant,nap time south park for the kid,
11026,0,baseball contributor sport thought and like respond with simpson gif ryan davis com,agree but even half schwarber baez russell bryant soler mckinney almora and torres pan out cub be fine,
11985,0,huge super late model race fan nhra ihra supercross fav show the blacklist hell wheel longmire banshee wannabe pitmaster,all have texas pick load coors and back hour,
9026,1,pronounce shove not sigh han really into mcdonalds breakfast actually ratchet fuck and murk your as ive be hungover since be,literally delete selfie from yesterday off story and upload new one need stop,
1478,0,,the first mask get,
8931,1,sometimes funny snap ohhhsara,let just ahead and what be make without compare ourselves each other try something aren,
10444,1,jaden smith north west ava ryan be spiritual animals the meal isn over when full over when hate myself louis,this one girl have bodycon fit peplum mini dress and wedge second grade,
10218,1,mother beautiful two year old girl adviser and blogger how green supergreen,meet year old santhanam against corruption and help the needytimes indiatwo murderous attempt,fight marriage TeamFollowBack
7664,0,,only know that need you and you fill that need,
2836,0,want feel you vein,foot under the dirt tru,
9033,1,,and marc sometimes,
8130,1,passionate about chinese food dog cat book art poetry tweet too much and online shopping snapchat veeren insta vicren,for have the current episode supernatural their website and not force type provider,
7574,1,nami community contact nrv independent crisis and community contact peer specialist mental health local and state advocate activist,be rough couple day be and out the hospital want say big thanks the one who care,
2486,0,comedian writer broadcaster host wrestle baseball boxing and mma fan huge food nerd,like the mailman because delivers amp,mutebuck blitzthebooth YouCalledIt
4706,1,worry misuse imagination,push cat off the counter yesterday and she didn land her foot still apologize,
2412,0,pure gold,the world mean enough kill someone deeply inside,
4002,0,record artist mtv finalist aquarius aspire actor jersey born hopeless romantic just popular nobody sadderday,get the job,
